"SubID"	"NA_1"	"NA_2"	"NA_3"	"NA_4"	"NA_5"	"NA_6"	"NA_7"	"NA_8"	"NA_9"	"NA_10"	"PA_1"	"PA_2"	"PA_3"	"PA_4"	"PA_5"	"PA_6"	"PA_7"	"PA_8"	"PA_9"	"PA_10"	"Anx_1"	"Anx_2"	"Anx_3"	"Dep_1"	"Dep_2"	"Dep_3"	"Discrim_1"	"Discrim_2"	"Discrim_3"	"Discrim_4"	"Discrim_5"	"Discrim_6"	"Discrim_7"	"DailyNews"	"Survey"	"SWLS_1"	"SWLS_2"	"SWLS_3"	"SWLS_4"	"SWLS_5"	"SWLS_6"	"SelfEsteem"	"MIL_1"	"MIL_2"	"MIL_3"	"MIL_4"	"MIL_5"	"MIL_6"	"MIL_7"	"MIL_8"	"MIL_9"	"MIL_10"	"MIL_11"	"MIL_12"	"MIL_13"	"MIL_14"	"MIL_15"	"MIL_16"	"Suprise_1"	"Suprise_2"	"Suprise_3"	"Surpise_4"	"DMIL_1"	"DMIL_2"	"NN_1"	"NN_2"	"NN_3"	"NN_4"	"NN_5"	"NN_6"	"NP_1"	"NP_2"	"NP_3"	"NP_4"	"NP_5"	"NP_6"	"OP_1"	"OP_2"	"OP_3"	"OP_4"	"OP_5"	"Date"	"Time"	"DayStudy.adj"	"DayWeek"	"NA_agg"	"PA_agg"	"Dep_agg"	"Anx_agg"
"1032"	4	5	3	1	4	1	2	2	2	1	3	5	4	4	3	4	3	5	NA	3	3	5	2	1	1	1	0	0	0	0	2	0	4	4	"Extended"	4	5	6	3	5	7	6	7	7	1	1	7	7	1	1	7	6	1	1	6	7	1	1	3	7	7	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2020-11-04	2020-12-01 18:36:00	8	"Wednesday"	2.5	3.78	3.33	1
"1071"	1	2	1	2	1	1	1	1	2	1	4	3	4	3	3	3	3	4	2	4	2	4	2	2	3	1	0	0	0	0	0	1	3	2	"Extended"	5	6	3	3	5	5	5	6	7	3	2	5	5	5	3	6	4	3	2	6	6	3	2	3	2	5	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2020-11-04	2020-12-01 18:37:00	8	"Wednesday"	1.3	3.3	2.67	2
"1036"	1	1	1	1	1	1	1	1	1	1	4	2	3	3	3	3	3	3	1	3	2	2	1	1	1	1	0	0	0	0	0	0	10	1	"Extended"	6	5	5	3	5	6	7	7	6	1	1	5	5	2	1	6	6	2	2	6	7	1	1	5	5	5	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2020-11-04	2020-12-01 18:38:00	8	"Wednesday"	1	2.8	1.67	1
"1087"	3	4	4	4	2	2	2	2	2	4	2	3	3	2	4	3	2	4	1	2	4	4	4	3	2	2	0	0	NA	2	NA	4	5	5	"Extended"	5	5	4	3	5	3	5	7	6	3	3	6	5	5	5	3	3	5	3	3	3	5	5	1	5	5	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2020-11-04	2020-12-01 18:43:00	8	"Wednesday"	2.9	2.6	4	2.33
"1027"	4	3	4	2	2	1	1	1	2	2	2	2	2	2	3	3	2	3	3	3	3	3	5	1	1	2	0	0	0	0	0	0	3	1	"Extended"	5	5	5	3	5	6	5	6	6	1	1	5	6	6	2	7	7	1	1	7	7	1	1	6	3	3	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2020-11-04	2020-12-01 18:44:00	8	"Wednesday"	2.2	2.5	3.67	1.33
"1012"	5	5	5	5	4	3	2	2	2	1	5	5	5	5	4	5	5	5	4	3	5	5	5	2	3	4	0	6	0	10	0	10	10	5	"Extended"	6	6	5	3	6	6	2	6	4	4	4	5	4	3	2	4	4	5	5	4	4	6	5	1	7	7	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2020-11-04	2020-12-01 18:47:00	8	"Wednesday"	3.4	4.6	5	3
"1086"	1	1	1	2	1	1	1	1	1	1	1	2	1	4	3	4	4	2	5	3	NA	1	1	1	1	1	0	0	0	0	5	0	4	1	"Extended"	4	6	6	3	6	2	6	7	7	1	1	4	4	2	1	5	7	4	1	4	7	2	2	1	6	7	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2020-11-04	2020-12-01 18:50:00	8	"Wednesday"	1.1	2.9	1	1
"1069"	3	3	4	3	1	1	1	2	2	3	3	3	2	2	2	1	1	2	2	2	4	4	3	1	2	1	0	0	0	0	0	0	1	1	"Extended"	4	3	4	3	6	6	5	4	5	4	3	5	5	3	3	5	5	4	2	5	5	4	3	1	4	4	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2020-11-04	2020-12-01 18:52:00	8	"Wednesday"	2.3	2	3.67	1.33
"1108"	2	2	4	2	1	1	3	1	1	2	3	3	4	3	3	3	3	3	2	3	3	3	2	1	1	2	0	0	0	0	0	0	0	3	"Extended"	5	5	5	3	6	2	6	6	6	3	3	6	5	2	4	4	5	2	2	4	4	4	4	5	3	3	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2020-11-04	2020-12-01 18:55:00	8	"Wednesday"	1.9	3	2.67	1.33
"1080"	2	2	3	1	1	1	2	2	1	3	1	2	2	1	1	1	1	1	1	1	3	2	1	1	1	1	0	0	0	0	0	0	3	2	"Extended"	5	4	2	3	2	2	5	6	5	2	2	6	5	2	1	6	6	1	1	2	2	2	6	1	1	1	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2020-11-04	2020-12-01 18:57:00	8	"Wednesday"	1.8	1.2	2	1
"1102"	1	1	2	2	1	1	3	3	3	2	1	1	2	1	2	1	2	1	2	2	2	1	2	1	2	3	0	0	0	1	0	1	0	2	"Extended"	1	5	1	3	5	2	1	1	5	7	7	1	1	7	7	5	1	5	1	5	6	1	7	4	4	4	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2020-11-04	2020-12-01 19:01:00	8	"Wednesday"	1.9	1.5	1.67	2
"1074"	5	5	5	5	2	4	2	1	5	5	5	5	5	5	2	2	5	5	5	3	5	5	5	1	3	3	0	0	0	10	0	10	10	5	"Extended"	5	7	5	3	6	5	6	7	7	1	1	6	6	5	6	6	6	2	2	5	7	1	1	7	7	7	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2020-11-04	2020-12-01 19:03:00	8	"Wednesday"	3.9	4.2	5	2.33
"1040"	4	3	4	4	3	3	4	3	3	2	4	4	NA	4	2	4	3	2	4	4	4	3	3	3	2	3	7	0	0	0	0	0	1	2	"Extended"	6	7	7	6	5	5	4	6	6	2	2	6	6	2	2	6	6	4	4	6	7	2	2	4	3	6	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2020-11-04	2020-12-01 19:11:00	8	"Wednesday"	3.3	3.44	3.33	2.67
"1010"	3	4	4	2	4	3	1	1	3	2	3	4	4	3	2	3	2	3	3	2	2	4	3	2	2	1	7	6	8	7	6	7	8	2	"Extended"	5	6	6	3	6	6	5	6	6	4	4	5	6	2	5	7	6	2	4	5	7	5	1	4	3	4	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2020-11-04	2020-12-01 19:13:00	8	"Wednesday"	2.7	2.9	3	1.67
"1044"	2	2	2	2	1	1	1	1	1	1	4	4	3	4	4	3	4	4	3	3	3	1	1	1	1	1	0	0	0	3	0	2	3	3	"Extended"	5	5	6	3	5	5	6	6	6	1	1	5	5	2	2	5	6	3	2	5	6	2	2	2	5	3	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2020-11-04	2020-12-01 19:14:00	8	"Wednesday"	1.4	3.6	1.67	1
"1002"	4	1	1	1	1	1	1	4	1	1	4	1	4	4	1	4	4	4	1	4	1	1	1	1	1	1	0	0	0	0	1	0	0	0	"Extended"	7	7	7	3	7	1	7	7	7	7	7	7	7	1	1	1	1	1	1	1	1	1	1	3	2	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2020-11-04	2020-12-01 19:16:00	8	"Wednesday"	1.6	3.1	1	1
"1052"	1	1	1	1	1	1	1	1	1	1	4	4	4	1	4	1	4	1	1	4	NA	1	1	1	1	1	0	0	0	0	0	0	0	1	"Extended"	6	6	6	3	6	6	7	6	6	6	1	6	6	6	1	6	6	1	1	6	6	1	1	3	4	4	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2020-11-04	2020-12-01 19:19:00	8	"Wednesday"	1	2.8	1	1
"1029"	3	2	2	3	3	2	2	2	1	2	2	3	2	2	3	1	3	3	3	3	2	3	2	1	1	1	0	0	0	0	0	0	10	5	"Extended"	5	4	6	3	5	5	6	7	7	1	1	6	6	1	1	6	6	1	1	6	6	4	1	7	1	1	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2020-11-04	2020-12-01 19:23:00	8	"Wednesday"	2.2	2.5	2.33	1
"1098"	4	4	5	5	2	2	1	3	4	4	3	5	4	4	3	3	1	4	1	2	4	4	4	3	4	2	1	1	3	10	3	10	10	5	"Extended"	6	5	6	3	7	7	7	7	7	1	1	7	7	1	1	7	7	1	1	7	7	1	1	3	3	3	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2020-11-04	2020-12-01 19:24:00	8	"Wednesday"	3.4	3	4	3
"1100"	3	3	1	1	1	1	1	4	2	1	2	1	1	3	1	5	1	1	1	2	3	3	1	2	3	1	0	0	0	0	0	0	0	2	"Extended"	7	5	7	3	5	5	5	7	7	1	1	7	5	1	1	7	7	1	1	1	7	1	1	3	2	1	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2020-11-04	2020-12-01 19:25:00	8	"Wednesday"	1.8	1.8	2.33	2
"1004"	2	2	3	1	1	1	1	1	1	1	3	1	1	3	1	2	2	2	1	3	3	3	1	1	1	1	0	0	0	0	0	2	5	2	"Extended"	5	5	5	3	5	3	7	5	4	4	4	5	5	5	2	6	7	3	2	1	1	7	7	4	2	2	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2020-11-04	2020-12-01 19:25:00	8	"Wednesday"	1.4	1.9	2.33	1
"1110"	1	1	1	1	4	1	1	2	2	1	NA	2	3	3	3	3	3	4	3	3	1	3	3	1	1	3	0	0	0	0	0	0	2	5	"Extended"	5	3	3	3	3	3	5	4	4	4	4	5	5	2	2	6	6	2	1	3	3	5	5	3	1	1	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2020-11-04	2020-12-01 19:30:00	8	"Wednesday"	1.5	3	2.33	1.67
"1061"	1	1	1	1	1	1	1	1	1	1	4	3	4	5	5	5	5	5	5	5	2	1	1	1	1	1	0	0	0	0	2	0	4	5	"Extended"	7	7	7	3	7	7	5	7	7	1	1	7	7	1	1	7	7	1	1	1	7	1	1	7	6	6	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2020-11-04	2020-12-01 19:33:00	8	"Wednesday"	1	4.6	1.33	1
"1001"	1	1	1	3	5	3	3	3	4	4	1	3	3	4	1	1	3	1	1	2	4	1	3	2	2	1	0	0	0	0	0	0	0	1	"Extended"	1	3	2	3	1	1	1	4	3	5	4	1	1	7	7	5	6	6	2	1	1	5	6	7	1	1	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2020-11-04	2020-12-01 19:34:00	8	"Wednesday"	2.8	2	2.67	1.67
"1062"	4	4	5	1	4	1	1	1	2	2	1	2	2	3	3	3	2	3	2	2	4	5	4	3	4	2	1	0	1	1	1	0	3	2	"Extended"	5	2	2	3	5	3	6	6	6	1	1	5	5	5	6	6	6	1	1	1	1	1	1	3	1	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2020-11-04	2020-12-01 19:37:00	8	"Wednesday"	2.5	2.3	4.33	3
